episode,total_reward,red_reward,black_reward,steps,result,elapsed_time
2754,25.5000,25.4600,0.0400,168,red_win,3785.7
2755,12.4300,7.4700,4.9600,178,draw,3786.4
2756,12.5200,6.2600,6.2600,169,draw,3790.3
2757,13.4500,6.2800,7.1700,177,draw,3791.2
2758,11.8800,6.6900,5.1900,132,draw,3791.8
2759,27.8300,2.4600,25.3700,137,black_win,3792.5
2760,28.7800,3.0800,25.7000,143,black_win,3793.2
2761,12.8800,6.1800,6.7000,234,draw,3794.9
2762,14.0400,6.9000,7.1400,219,draw,3796.3
2763,7.9000,7.0400,0.8600,227,draw,3797.4
2764,14.0200,6.9500,7.0700,221,draw,3798.5
2765,10.7100,6.2400,4.4700,148,draw,3799.2
2766,14.4900,7.4300,7.0600,174,draw,3804.8
2767,11.2100,7.2400,3.9700,199,draw,3805.7
2768,14.3400,7.4100,6.9300,189,draw,3806.7
2769,7.0000,5.4000,1.6000,115,draw,3807.2
2770,12.2100,5.1000,7.1100,200,draw,3808.1
2771,9.3900,2.2900,7.1000,179,draw,3809.7
2772,13.7500,7.2600,6.4900,147,draw,3810.3
2773,11.3700,4.4700,6.9000,183,draw,3811.0
2774,26.0000,25.3500,0.6500,118,red_win,3811.5
2775,26.7100,25.3200,1.3900,148,red_win,3812.1
2776,28.9000,2.2200,26.6800,125,black_win,3814.1
2777,11.2500,7.1400,4.1100,195,draw,3815.1
2778,12.7600,5.4900,7.2700,145,draw,3815.7
2779,29.3800,4.1200,25.2600,184,black_win,3816.7
2780,27.8900,2.6100,25.2800,131,black_win,3817.3
2781,11.8800,5.6100,6.2700,132,draw,3818.4
2782,9.0000,4.5300,4.4700,111,draw,3818.8
2783,28.7900,25.3500,3.4400,142,red_win,3819.4
2784,9.6200,2.4000,7.2200,156,draw,3820.0
2785,13.3000,6.3800,6.9200,192,draw,3820.7
2786,27.5600,25.2400,2.3200,164,red_win,3822.1
2787,14.0200,6.7700,7.2500,221,draw,3823.0
2788,13.9600,7.1600,6.8000,227,draw,3823.9
2789,12.4600,5.1600,7.3000,175,draw,3824.6
2790,28.6200,24.7800,3.8400,159,red_win,3825.2
2791,9.4800,2.3900,7.0900,170,draw,3827.4
2792,27.7600,26.3100,1.4500,138,red_win,3827.9
2793,9.6500,6.9600,2.6900,254,draw,3828.9
2794,13.1300,7.1900,5.9400,209,draw,3829.7
2795,8.8400,3.5300,5.3100,121,draw,3830.2
2796,12.4800,6.8900,5.5900,173,draw,3833.7
2797,13.7200,7.1800,6.5400,150,draw,3834.3
2798,25.7300,0.5200,25.2100,145,black_win,3834.9
2799,12.3000,6.0900,6.2100,191,draw,3835.6
2800,28.1400,2.9100,25.2300,106,black_win,3836.0
2801,9.8700,6.9000,2.9700,232,draw,3838.0
2802,-1.9400,1.6500,-3.5900,82,draw,3838.6
2803,29.5800,25.1200,4.4600,164,red_win,3839.2
2804,13.1800,6.8600,6.3200,204,draw,3840.0
2805,10.5800,4.4600,6.1200,161,draw,3840.7
2806,14.3600,7.1800,7.1800,187,draw,3843.4
2807,12.3700,6.2500,6.1200,184,draw,3844.6
2808,12.1100,7.0700,5.0400,210,draw,3845.7
2809,29.6100,3.2000,26.4100,155,black_win,3846.4
2810,26.8300,25.3200,1.5100,136,red_win,3847.0
2811,10.2200,3.1200,7.1000,191,draw,3852.3
2812,12.6000,6.8000,5.8000,262,draw,3853.3
2813,13.8400,6.8600,6.9800,239,draw,3854.2
2814,13.5200,7.3200,6.2000,170,draw,3855.2
2815,12.5200,5.1900,7.3300,169,draw,3856.1
2816,12.6100,5.4800,7.1300,160,draw,3858.2
2817,11.6000,6.2800,5.3200,154,draw,3858.8
2818,9.4800,6.0500,3.4300,164,draw,3859.4
2819,29.4600,25.2400,4.2200,176,red_win,3860.3
2820,12.1100,4.9300,7.1800,210,draw,3861.2
2821,13.8300,6.6200,7.2100,240,draw,3864.0
2822,4.5900,5.1200,-0.5300,148,draw,3864.6
2823,12.1200,4.9300,7.1900,209,draw,3865.7
2824,21.4600,25.2200,-3.7600,168,red_win,3866.3
2825,29.6100,25.0700,4.5400,161,red_win,3867.0
2826,14.1800,7.1500,7.0300,205,draw,3869.5
2827,9.9300,7.5500,2.3800,113,draw,3869.9
2828,28.3200,25.1700,3.1500,189,red_win,3871.0
2829,29.4500,25.2300,4.2200,177,red_win,3871.8
2830,9.1400,7.1600,1.9800,204,draw,3872.8
2831,12.2200,6.2300,5.9900,199,draw,3877.0
2832,14.0500,6.9700,7.0800,218,draw,3877.9
2833,14.5000,7.2500,7.2500,173,draw,3878.7
