episode,actor_loss,critic_loss,entropy,total_loss,clip_fraction,kl_divergence,grad_norm,value_pred_mean,advantage_mean,ratio_mean
2755,-0.013879,0.022982,0.342914,0.002244,0.1393,0.024432,0.8070,0.137104,0.000000,1.007724
2760,0.007576,0.026914,0.382228,0.026846,0.0818,0.027142,0.9855,0.097266,0.000000,0.989188
2765,-0.009281,0.007634,0.317344,-0.007993,0.1973,0.025030,0.5165,0.025406,-0.000000,1.029079
2770,0.006310,0.009164,0.330037,0.008873,0.0855,0.030097,1.1879,0.036278,0.000000,0.988437
2775,0.000390,0.021771,0.314591,0.015869,0.0955,0.037155,1.1472,0.053495,-0.000000,0.984366
2780,0.011679,0.033585,0.334252,0.038579,0.0987,0.030381,1.2267,0.073526,0.000000,0.994966
2785,-0.000749,0.015407,0.372219,0.007215,0.0914,0.030149,1.3505,0.097587,0.000000,0.993928
2790,-0.001296,0.018982,0.330753,0.011071,0.1036,0.025248,0.8207,0.147959,0.000000,0.994474
2795,-0.007058,0.014852,0.340961,0.000975,0.1379,0.025208,0.8527,0.156719,0.000000,0.997647
2800,0.009333,0.018148,0.381252,0.019856,0.0902,0.034470,1.3126,0.144095,-0.000000,0.987834
2805,0.003755,0.022725,0.342364,0.019632,0.1352,0.030839,0.8676,0.095831,-0.000000,1.002196
2810,-0.013363,0.018121,0.363539,-0.002512,0.1628,0.024766,0.6211,0.094806,0.000000,1.030952
2815,-0.001758,0.007064,0.330170,-0.001298,0.0863,0.025378,0.6785,0.096228,0.000000,0.988121
2820,-0.002144,0.014350,0.350173,0.005203,0.1169,0.025263,0.7145,0.110772,0.000000,0.997985
2825,0.002210,0.022911,0.422382,0.016674,0.0961,0.024636,0.8209,0.116543,-0.000000,0.990977
2830,0.011089,0.022339,0.377305,0.025882,0.1059,0.037276,1.0259,0.079132,-0.000000,0.989553
2835,-0.008664,0.011496,0.427222,-0.005713,0.1339,0.027466,0.8993,0.107926,0.000000,0.991700
2840,-0.009737,0.017104,0.446644,-0.001565,0.1842,0.018126,0.6976,0.087606,-0.000000,1.023243
2845,-0.022616,0.014122,0.427491,-0.017044,0.1781,0.025645,0.6525,0.018936,-0.000000,1.010362
2850,0.000266,0.008915,0.404695,0.001088,0.1530,0.029722,0.8326,0.026016,-0.000000,0.999023
2855,-0.002492,0.033240,0.419018,0.022367,0.0717,0.024673,1.2829,0.067884,-0.000000,0.992165
2860,-0.020874,0.016387,0.413789,-0.012763,0.2264,0.013062,0.4251,0.048961,0.000000,1.043547
2865,0.001171,0.041262,0.439902,0.033635,0.1410,0.041190,1.0419,0.092135,0.000000,1.001698
2870,0.001886,0.011768,0.362584,0.006402,0.0864,0.032260,0.8006,0.080307,0.000000,0.985877
2875,0.004034,0.030320,0.409915,0.026156,0.0943,0.034107,1.0408,0.142859,-0.000000,0.986076
2880,-0.001170,0.025975,0.406971,0.016666,0.1098,0.036637,0.9224,0.184397,0.000000,0.987221
2885,0.004139,0.030148,0.422172,0.025844,0.1142,0.030366,0.7413,0.225930,-0.000000,0.990708
2890,-0.013154,0.019750,0.424071,-0.001886,0.2056,0.048090,0.6907,0.150928,0.000000,1.007643
2895,0.007729,0.027863,0.401507,0.027562,0.0917,0.045362,1.2049,0.134838,0.000000,0.987371
2900,-0.020946,0.022434,0.400433,-0.006521,0.1746,0.026855,0.4485,0.091729,-0.000000,1.005385
2905,-0.002582,0.023405,0.447422,0.011875,0.1375,0.038052,0.8007,0.163697,-0.000000,1.006887
2910,-0.001916,0.034780,0.448398,0.023896,0.1995,0.033684,0.9008,0.247912,0.000000,1.024861
2915,0.016772,0.027819,0.432046,0.035950,0.0865,0.025470,2.2110,0.261663,0.000000,0.991515
2920,-0.013321,0.041058,0.435829,0.019021,0.2522,0.034344,0.8564,-0.029121,-0.000000,1.034348
2925,-0.012780,0.010385,0.464701,-0.011689,0.2170,0.042095,0.6347,0.006728,0.000000,1.031048
2930,0.006667,0.030767,0.437538,0.028683,0.1177,0.031753,0.9759,0.013943,-0.000000,0.985231
2935,0.001160,0.017570,0.431995,0.010090,0.1317,0.026510,0.8186,0.076951,-0.000000,0.987806
2940,-0.002028,0.019337,0.421268,0.008883,0.1057,0.026550,1.0148,0.148991,-0.000000,0.993252
2945,-0.009749,0.039790,0.487939,0.020281,0.1912,0.038377,0.9160,0.147961,0.000000,1.006693
2950,-0.001400,0.009662,0.444978,-0.000637,0.2099,0.035688,1.0465,0.074336,-0.000000,1.004661
